sales,date,product
1638.0,2018-02-06,pink morsel
1647.0,2018-02-06,pink morsel
1731.0,2018-02-06,pink morsel
1557.0,2018-02-06,pink morsel
1587.0,2018-02-07,pink morsel
1698.0,2018-02-07,pink morsel
1542.0,2018-02-07,pink morsel
1635.0,2018-02-07,pink morsel
1602.0,2018-02-08,pink morsel
1536.0,2018-02-08,pink morsel
1503.0,2018-02-08,pink morsel
1701.0,2018-02-08,pink morsel
1758.0,2018-02-09,pink morsel
1662.0,2018-02-09,pink morsel
1782.0,2018-02-09,pink morsel
1515.0,2018-02-09,pink morsel
1662.0,2018-02-10,pink morsel
1557.0,2018-02-10,pink morsel
1650.0,2018-02-10,pink morsel
1674.0,2018-02-10,pink morsel
1554.0,2018-02-11,pink morsel
1587.0,2018-02-11,pink morsel
1563.0,2018-02-11,pink morsel
1764.0,2018-02-11,pink morsel
1758.0,2018-02-12,pink morsel
1608.0,2018-02-12,pink morsel
1569.0,2018-02-12,pink morsel
1653.0,2018-02-12,pink morsel
1572.0,2018-02-13,pink morsel
1716.0,2018-02-13,pink morsel
1773.0,2018-02-13,pink morsel
1725.0,2018-02-13,pink morsel
1767.0,2018-02-14,pink morsel
1710.0,2018-02-14,pink morsel
1698.0,2018-02-14,pink morsel
1512.0,2018-02-14,pink morsel
1746.0,2018-02-15,pink morsel
1734.0,2018-02-15,pink morsel
1524.0,2018-02-15,pink morsel
1614.0,2018-02-15,pink morsel
1578.0,2018-02-16,pink morsel
1782.0,2018-02-16,pink morsel
1527.0,2018-02-16,pink morsel
1752.0,2018-02-16,pink morsel
1785.0,2018-02-17,pink morsel
1689.0,2018-02-17,pink morsel
1641.0,2018-02-17,pink morsel
1575.0,2018-02-17,pink morsel
1644.0,2018-02-18,pink morsel
1674.0,2018-02-18,pink morsel
1551.0,2018-02-18,pink morsel
1737.0,2018-02-18,pink morsel
1563.0,2018-02-19,pink morsel
1647.0,2018-02-19,pink morsel
1605.0,2018-02-19,pink morsel
1539.0,2018-02-19,pink morsel
1698.0,2018-02-20,pink morsel
1575.0,2018-02-20,pink morsel
1500.0,2018-02-20,pink morsel
1551.0,2018-02-20,pink morsel
1737.0,2018-02-21,pink morsel
1542.0,2018-02-21,pink morsel
1665.0,2018-02-21,pink morsel
1548.0,2018-02-21,pink morsel
1635.0,2018-02-22,pink morsel
1632.0,2018-02-22,pink morsel
1668.0,2018-02-22,pink morsel
1764.0,2018-02-22,pink morsel
1533.0,2018-02-23,pink morsel
1563.0,2018-02-23,pink morsel
1641.0,2018-02-23,pink morsel
1773.0,2018-02-23,pink morsel
1629.0,2018-02-24,pink morsel
1698.0,2018-02-24,pink morsel
1725.0,2018-02-24,pink morsel
1722.0,2018-02-24,pink morsel
1596.0,2018-02-25,pink morsel
1710.0,2018-02-25,pink morsel
1635.0,2018-02-25,pink morsel
1659.0,2018-02-25,pink morsel
1686.0,2018-02-26,pink morsel
1533.0,2018-02-26,pink morsel
1524.0,2018-02-26,pink morsel
1530.0,2018-02-26,pink morsel
1665.0,2018-02-27,pink morsel
1695.0,2018-02-27,pink morsel
1578.0,2018-02-27,pink morsel
1620.0,2018-02-27,pink morsel
1767.0,2018-02-28,pink morsel
1593.0,2018-02-28,pink morsel
